Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Paradise Roasters,Colombia Finca La Primavera Sidra,96,"Minneapolis, Minnesota","Huila, Colombia",Light,64/82,$48.00/12 ounces,March2022,9,9,9,10,9,,
SkyTop Coffee,Ethiopia Anaerobic Shantawene,94,"Manlius, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/80,$20.00/12 ounces,March2022,9,9,9,9,8,,
Jaunt Coffee Roasters,Ethiopia Bensa Asefa Qonqana,94,"San Diego, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,64/86,$26.00/12 ounces,March2022,9,9,9,9,8,,
Magnolia Coffee,Ethiopia Durato Bombe,94,"Charlotte, North Carolina","Bombe mountains, Sidama Region, southern Ethiopia",Medium-Light,58/78,$19.00/12 ounces,March2022,9,9,9,9,8,,
SkyTop Coffee,Ethiopia Washed Shantawene,94,"Manlius, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,60/78,$20.00/12 ounces,March2022,9,9,9,9,8,,
David's Nose,Honduras Blue Hole Estate,93,"Taipei, Taiwan",Honduras,Medium-Light,58/76,NT $400/8 ounces,March2022,9,8,9,9,8,,
Old Soul Co.,Democratic Republic of Congo Mighty Peace Mapendo,93,"Sacramento, California","Lake Kivu, Democratic Republic of Congo",Medium-Light,56/74,$20.00/12 ounces,March2022,9,9,8,9,8,,
JBC Coffee Roasters,Lugmapata Ecuador,95,"Madison, Wisconsin","Pallatanga, Chimborazo Province, Ecuador",Medium-Light,60/80,$18.00/8 ounces,March2022,9,9,9,9,9,,
Nostalgia Coffee Roasters,Red Sunset by Andres Cardona,94,"San Diego, California","Santa Bárbara, Antioquia Department, Colombia",Medium-Light,55/73,$24.00/12 ounces,March2022,9,9,9,9,8,,
JBC Coffee Roasters,Macarena Colombia,94,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium-Light,60/78,$18.00/8 ounces,March2022,9,9,9,9,8,,
JBC Coffee Roasters,Haraaz Red Yemen,94,"Madison, Wisconsin","Al Mashtal ul Burhani, Yemen",Medium-Light,58/78,$25.00/8 ounces,March2022,9,9,9,9,8,,
Nostalgia Coffee Roasters,Nicaragua Sabino Maria,93,"San Diego, California","Jinotega Department, Nicaragua",Medium-Light,58/78,$21.00/12 ounces,March2022,9,9,8,9,8,,
JBC Coffee Roasters,Twisted V.7 Espresso,93,"Madison, Wisconsin",Central America; South America; Ethiopia,Medium-Light,52/74,$17.00/12 ounces,March2022,9,,8,9,8,9,
Tipico Coffee,El Salvador Anarquia Pacamara,94,"Buffalo, New York","Apaneca, El Salvador",Light,60/82,$22.00/12 ounces,March2022,9,9,9,9,8,,
Chaos Coffee Co.,Tanzania Peaberry,93,"Bayboro, North Carolina",Tanzania,Medium-Light,56/72,$14.50/12 ounces,March2022,9,8,9,9,8,,
Tipico Coffee,Ethiopia Karamo Natural,93,"Buffalo, New York","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/76,$17.75/12 ounces,March2022,9,8,9,9,8,,
Tipico Coffee,Guatemala Reserve Las Moritas Yellow Pacamara,93,"Buffalo, New York","El Progresso Department, Guatemala",Medium-Light,57/77,$22.00/12 ounces,March2022,9,8,9,9,8,,
Bird Rock Coffee Roasters,Colombia Sidra Natural Signature Selection,96,"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Light,62/80,$69.00/6 ounces,March2022,9,9,9,10,9,,
Paradise Roasters,Colombia Finca El Paraiso Geisha Letty,97,"Minneapolis, Minnesota","Cauca, Colombia",Light,64/84,$40.00/4 ounces,February2022,10,9,9,10,9,,
Monarch Coffee,Monarch Estate Pacamara,94,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/80,$40.95/4 ounces,February2022,9,9,9,9,8,,
Paradise Roasters,Uluwehi Farm Kona SL34 Yeast-Fermentation Washed Peaberry,94,"Minneapolis, Minnesota","Holualoa, Kona growing region, Big Island of Hawai’i",Medium-Light,56/72,$40.00/4 ounces,February2022,9,9,9,9,8,,
Paradise Roasters,Ka’u IPA Natural,95,"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium-Light,58/78,$25.00/4 ounces,February2022,9,9,9,9,9,,
Paradise Roasters,Honduras Finca Cerro Azul Yellow Pacas,93,"Minneapolis, Minnesota","Siguatepeque, Comayagua Department, Honduras",Medium-Light,60/78,$18.00/6 ounces,February2022,9,8,9,9,8,,
Paradise Roasters,Ecuador Finca Lugmapata Mejorado,95,"Minneapolis, Minnesota","Pallatanga, Chimborazo, Ecuador",Light,64/80,$18.00/6 ounces,February2022,9,9,9,9,9,,
Monarch Coffee,Monarch Estate Hawaiian Gesha,92,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,60/74,$42.00/4 ounces,February2022,9,8,8,9,8,,
Monarch Coffee,‘Ōpio Kona,91,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,52/70,$26.00/8 ounces,February2022,8,8,9,8,8,,
Paradise Roasters,Hawai’i Ka’u Classic Dark,92,"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium,46/60,$20.00/4 ounces,February2022,9,8,8,9,8,,
Oak & Bond Coffee Company,Guatemala Finca Buena Esperanza,93,"Charlotte, North Carolina","Huehuetenango, Guatemala",Medium-Light,58/78,$19.00/12 ounces,February2022,9,9,8,9,8,,
Oak & Bond Coffee Company,Session Blend,93,"Charlotte, North Carolina",Guatemala; Ethiopia,Medium-Light,56/74,$17.50/12 ounces,February2022,9,8,9,9,8,,
A&E Coffee & Tea,Honduras Relationship Coffee Norma Lara,93,"Nashua, New Hampshire","Ocotepeque Department, Honduras",Medium-Light,58/78,$17.99/12 ounces,February2022,9,8,9,9,8,,
Jaunt Coffee Roasters,Ethiopia Hambela Goro,92,"San Diego, California","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,$25.00/12 ounces,February2022,9,8,8,9,8,,
A&E Coffee & Tea,Sumatra Batak Triple-Picked,92,"Nashua, New Hampshire","Lintong growing region, Sumatra, Indonesia",Medium-Light,54/72,$17.99/12 ounces,February2022,9,8,8,9,8,,
A&E Coffee & Tea,Honduras COMSA Natural,92,"Nashua, New Hampshire","Marcala, La Paz Department, Honduras",Medium-Light,54/72,$15.99/12 ounces,February2022,8,9,8,9,8,,
JBC Coffee Roasters,Shakiso Natural,94,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,$19.00/12 ounces,February2022,9,9,9,9,8,,
JBC Coffee Roasters,Cerro Azul Geisha Honey Process,94,"Madison, Wisconsin","Trujillo, Valle del Cauca, Colombia",Medium-Light,58/76,$36.00/8 ounces,February2022,9,9,9,9,8,,
Hula Daddy Kona Coffee,Karen J Kona Red Bourbon Natural Anaerobic,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/76,$49.95/8 ounces,February2022,9,9,9,9,9,,
Red Rooster Coffee Roaster,El Salvador Finca Mileydi Pacamara,95,"Floyd, Virginia","Cantón El Tunel, La Palma, Chalatenango, El Salvador",Medium-Light,60/78,$24.99/12 ounces,February2022,9,9,9,9,9,,
Red Rooster Coffee Roaster,El Salvador Las Veraneras Red Bourbon,94,"Floyd, Virginia",Apaneca Ilamatepec mountain range,Medium-Light,58/78,$18.99/12 ounces,February2022,9,9,9,9,8,,
Drink Coffee Do Stuff,Colombia Aromas de Sur,93,"Truckee, California","Huila Department, Colombia",Medium-Light,58/78,$23.00/12 ounces,February2022,9,8,9,9,8,,
Battlecreek Coffee,Costa Rica Termico,91,"Battle Creek, Michigan","Tarrazu growing region, Costa Rica",Light,64/84,$20.00/12 ounces,February2022,8,8,9,9,7,,
Metropolis Coffee,Schweik’s Blend,94,"Chicago, Illinois",Africa,Light,62/80,$11.75/10.5 ounces,February2022,9,9,9,9,8,,
