Roaster,Name,Rating,Roaster Location,Coffee Origin,Roast Level,DollarsPerOz,Aroma,Flavor,Agtron Ext,Agtron Gnd,Roast_Level_num,Latitude,Longitude
Paradise Roasters,Colombia Finca La Primavera Sidra,96,Minnesota,Colombia,Light,4.0,9,10,64,82,0,4.0,-72.0
SkyTop Coffee,Ethiopia Anaerobic Shantawene,94,New York,Ethiopia,Medium-Light,1.67,9,9,58,80,1,8.0,38.0
Jaunt Coffee Roasters,Ethiopia Bensa Asefa Qonqana,94,California,Ethiopia,Light,2.17,9,9,64,86,0,8.0,38.0
Magnolia Coffee,Ethiopia Durato Bombe,94,North Carolina,Ethiopia,Medium-Light,1.58,9,9,58,78,1,8.0,38.0
SkyTop Coffee,Ethiopia Washed Shantawene,94,New York,Ethiopia,Medium-Light,1.67,9,9,60,78,1,8.0,38.0
Old Soul Co.,Democratic Republic of Congo Mighty Peace Mapendo,93,California,Congo,Medium-Light,1.67,9,9,56,74,1,-1.0,15.0
JBC Coffee Roasters,Lugmapata Ecuador,95,Wisconsin,Ecuador,Medium-Light,2.25,9,9,60,80,1,-2.0,-77.5
Nostalgia Coffee Roasters,Red Sunset by Andres Cardona,94,California,Colombia,Medium-Light,2.0,9,9,55,73,1,4.0,-72.0
JBC Coffee Roasters,Macarena Colombia,94,Wisconsin,Colombia,Medium-Light,2.25,9,9,60,78,1,4.0,-72.0
JBC Coffee Roasters,Haraaz Red Yemen,94,Wisconsin,Yemen,Medium-Light,3.12,9,9,58,78,1,15.0,48.0
Nostalgia Coffee Roasters,Nicaragua Sabino Maria,93,California,Nicaragua,Medium-Light,1.75,9,9,58,78,1,13.0,-85.0
JBC Coffee Roasters,Twisted V.7 Espresso,93,Wisconsin,Ethiopia,Medium-Light,1.42,9,9,52,74,1,8.0,38.0
Tipico Coffee,El Salvador Anarquia Pacamara,94,New York,El Salvador,Light,1.83,9,9,60,82,0,13.83,-88.92
Chaos Coffee Co.,Tanzania Peaberry,93,North Carolina,Tanzania,Medium-Light,1.21,9,9,56,72,1,-6.0,35.0
Tipico Coffee,Ethiopia Karamo Natural,93,New York,Ethiopia,Medium-Light,1.48,9,9,58,76,1,8.0,38.0
Tipico Coffee,Guatemala Reserve Las Moritas Yellow Pacamara,93,New York,Guatemala,Medium-Light,1.83,9,9,57,77,1,15.5,-90.25
Bird Rock Coffee Roasters,Colombia Sidra Natural Signature Selection,96,California,Colombia,Light,11.5,9,10,62,80,0,4.0,-72.0
Paradise Roasters,Colombia Finca El Paraiso Geisha Letty,97,Minnesota,Colombia,Light,10.0,10,10,64,84,0,4.0,-72.0
Monarch Coffee,Monarch Estate Pacamara,94,Hawai,Big Island,Medium-Light,10.24,9,9,60,80,1,19.8968,-155.5828
Paradise Roasters,Uluwehi Farm Kona SL34 Yeast-Fermentation Washed Peaberry,94,Minnesota,Big Island,Medium-Light,10.0,9,9,56,72,1,19.8968,-155.5828
Paradise Roasters,Ka’u IPA Natural,95,Minnesota,Big Island,Medium-Light,6.25,9,9,58,78,1,19.8968,-155.5828
Paradise Roasters,Honduras Finca Cerro Azul Yellow Pacas,93,Minnesota,Honduras,Medium-Light,3.0,9,9,60,78,1,15.0,-86.5
Paradise Roasters,Ecuador Finca Lugmapata Mejorado,95,Minnesota,Ecuador,Light,3.0,9,9,64,80,0,-2.0,-77.5
Monarch Coffee,Monarch Estate Hawaiian Gesha,92,Hawai,Big Island,Medium-Light,10.5,9,9,60,74,1,19.8968,-155.5828
Monarch Coffee,‘Ōpio Kona,91,Hawai,Big Island,Medium-Light,3.25,8,8,52,70,1,19.8968,-155.5828
Paradise Roasters,Hawai’i Ka’u Classic Dark,92,Minnesota,Big Island,Medium,5.0,9,9,46,60,2,19.8968,-155.5828
Oak & Bond Coffee Company,Guatemala Finca Buena Esperanza,93,North Carolina,Guatemala,Medium-Light,1.58,9,9,58,78,1,15.5,-90.25
Oak & Bond Coffee Company,Session Blend,93,North Carolina,Ethiopia,Medium-Light,1.46,9,9,56,74,1,8.0,38.0
A&E Coffee & Tea,Honduras Relationship Coffee Norma Lara,93,New Hampshire,Honduras,Medium-Light,1.5,9,9,58,78,1,15.0,-86.5
Jaunt Coffee Roasters,Ethiopia Hambela Goro,92,California,Ethiopia,Light,2.08,9,9,62,80,0,8.0,38.0
A&E Coffee & Tea,Sumatra Batak Triple-Picked,92,New Hampshire,Sumatra,Medium-Light,1.5,9,9,54,72,1,-5.0,120.0
A&E Coffee & Tea,Honduras COMSA Natural,92,New Hampshire,Honduras,Medium-Light,1.33,8,9,54,72,1,15.0,-86.5
JBC Coffee Roasters,Shakiso Natural,94,Wisconsin,Ethiopia,Medium-Light,1.58,9,9,58,76,1,8.0,38.0
JBC Coffee Roasters,Cerro Azul Geisha Honey Process,94,Wisconsin,Colombia,Medium-Light,4.5,9,9,58,76,1,4.0,-72.0
Hula Daddy Kona Coffee,Karen J Kona Red Bourbon Natural Anaerobic,95,Hawai,Big Island,Medium-Light,6.24,9,9,56,76,1,19.8968,-155.5828
